split,support_tier,model,horizon,n_cases,n_lakes,MAE,RMSE,mean_bias,MASE,pct_lakes_beat_naive,n_interval_80,coverage_80,width_80,n_interval_95,coverage_95,width_95
development,Full,Last 10 observed-year mean,10,2536,334,0.6112497931330217,0.8836650946770982,-0.13505608316411144,1.0613048148488777,71.25748502994011,2536,0.86198738170347,2.190976421812745,2536,0.9704258675078864,3.8595460196556943
development,Full,Last 5 observed-year mean,1,2780,359,0.4627748506038114,0.6323324399514949,0.029132736024658094,0.8192451034690087,68.24512534818942,2780,0.8420863309352518,1.6458288618311696,2780,0.9683453237410072,2.9300208530648004
development,Full,Last 5 observed-year mean,3,2699,355,0.5179450990509814,0.7058754070603965,-0.048673364918505685,0.9126619694545722,72.95774647887325,2699,0.8351241200444609,1.8183631577512265,2699,0.9651722860318637,3.189390919286322
development,Full,Last 5 observed-year mean,5,2663,346,0.5472872508651325,0.7625765515693251,-0.1214644530412183,0.9516064588980977,73.41040462427746,2663,0.8392790086368757,1.8975961913540207,2663,0.9601952684941795,3.404774410552126
development,Full,Last 5 observed-year mean,10,2536,334,0.6072849621293818,0.8700112334954875,-0.16764607154395633,1.0516322461706136,77.54491017964071,2536,0.8608044164037855,2.211043571938781,2536,0.9700315457413249,3.8564104160799664
development,Full,Local-level state-space,1,2780,359,0.46539937561639305,0.6366998154101784,0.004311316187326421,0.8273385963346402,73.81615598885793,2780,0.8420863309352518,1.6457501142626063,2780,0.9636690647482015,2.8064435881045227
development,Full,Local-level state-space,3,2699,355,0.5235424380375934,0.7166284210944653,-0.07475173502506777,0.9245244311908901,78.0281690140845,2699,0.8440163023341979,1.850189142533532,2699,0.9655427936272694,3.2424650371694077
development,Full,Local-level state-space,5,2663,346,0.5570012731337529,0.7690508665109127,-0.14986547360647517,0.9760991491516116,77.16763005780348,2663,0.8422831393165603,1.968300895301551,2663,0.9673300788584304,3.512843281765304
development,Full,Local-level state-space,10,2536,334,0.6218375046425505,0.8839164898986717,-0.19363635189850567,1.0891870976899902,77.54491017964071,2536,0.8541009463722398,2.181692409643931,2536,0.9676656151419558,3.833067389755417
development,Full,Recent 10-calendar-year mean,1,2780,359,0.4795004352791852,0.6503767836134366,0.06622649208818657,0.8418268713926681,69.91643454038997,2780,0.8262589928057554,1.6313280119135745,2780,0.9636690647482015,2.890817704235412
development,Full,Recent 10-calendar-year mean,3,2699,355,0.5285304760444182,0.7151923416600168,-0.012224930234048866,0.9231599560513016,70.14084507042253,2699,0.828825490922564,1.8106671253310085,2699,0.9610967024824009,3.158064763792554
development,Full,Recent 10-calendar-year mean,5,2663,346,0.5491514592958633,0.7572330422999841,-0.08420849772849905,0.9512042612107842,69.36416184971098,2663,0.8471648516710477,1.9301426029248976,2663,0.9628238828389035,3.397886888873779
development,Full,Recent 10-calendar-year mean,10,2536,334,0.6061290801473179,0.8756875737772591,-0.1292676969230722,1.0514518371777584,71.25748502994011,2536,0.863564668769716,2.160797141562875,2536,0.9660883280757098,3.7543245750653216
development,Full,Recent 3-calendar-year mean,1,2780,359,0.47582752781866566,0.6500704256196523,-0.018910944570761118,0.8429766692103005,66.29526462395543,2780,0.8258992805755395,1.6228128218060474,2780,0.9672661870503597,2.8920793029212994
development,Full,Recent 3-calendar-year mean,3,2699,355,0.5269908213908675,0.7254182976398122,-0.10067573241669325,0.9250345478449182,73.52112676056338,2699,0.8458688403112263,1.8790574284762263,2699,0.968506854390515,3.382284534895201
development,Full,Recent 3-calendar-year mean,5,2663,346,0.5607778971743602,0.7774853701662331,-0.174732469169656,0.9773993458403532,71.38728323699422,2663,0.8464138190011266,2.0130895039752534,2663,0.9628238828389035,3.5943012346389587
development,Full,Recent 3-calendar-year mean,10,2536,334,0.6376456238968116,0.9046262171895403,-0.2164867942943421,1.1001373129838066,73.35329341317365,2536,0.8450315457413249,2.2203404322904228,2536,0.9633280757097792,3.9375727029690237
